Id,Response
304,yes
305,no
306,no
307,no
308,no
309,no
310,yes
311,no
312,no
313,no
314,no
315,no
316,no
317,no
318,yes
319,no
320,yes
321,no
322,no
323,no
324,no
325,no
326,no
327,no
328,no
329,no
330,no
331,no
332,no
333,no
334,no
335,yes
336,yes
337,no
338,yes
339,yes
340,yes
341,no
342,yes
343,yes
344,yes
345,yes
346,no
347,yes
348,yes
349,yes
350,yes
351,no
352,no
353,no
354,no
355,no
356,yes
357,yes
358,yes
359,no
360,no
361,no
362,yes
363,no
364,yes
365,no
366,no
367,yes
368,no
369,no
370,no
371,no
372,yes
373,no
374,no
375,yes
376,yes
377,yes
378,no
379,yes
380,no
381,yes
382,yes
383,no
384,no
385,no
386,no
387,yes
388,yes
389,no
390,no
391,yes
392,no
393,no
394,no
395,yes
396,yes
397,yes
398,yes
399,no
400,no
401,no
402,yes
403,no
404,no
405,yes
406,no
407,no
408,no
409,no
410,no
411,no
412,no
413,no
414,no
415,no
416,no
417,no
418,no
419,no
420,no
421,no
422,no
423,no
424,no
425,no
426,no
427,no
428,no
429,no
430,no
431,no
432,yes
433,no
434,no
435,no
436,no
437,no
438,no
439,no
440,no
441,no
442,no
443,no
444,no
445,yes
446,no
447,no
448,no
449,no
450,no
451,no
452,no
453,no
454,no
455,no
456,no
457,no
458,no
459,no
460,no
461,no
462,no
463,no
464,no
465,no
466,no
467,no
468,no
469,no
470,no
471,no
472,no
473,no
474,no
475,no
476,no
477,no
478,no
479,no
480,no
481,no
482,yes
483,no
484,no
485,no
486,no
487,no
488,no
489,no
490,yes
491,yes
492,yes
493,yes
494,no
495,yes
496,yes
497,yes
498,yes
499,no
500,yes
501,yes
502,no
503,no
504,no
505,no
506,no
507,no
508,no
509,no
510,no
511,no
512,no
513,no
514,no
515,no
516,no
517,no
518,no
519,no
520,no
521,no
522,no
523,no
524,no
525,no
526,no
527,yes
528,no
529,no
530,no
531,no
532,no
533,no
534,no
535,no
536,no
537,no
538,no
539,no
540,no
541,no
542,no
543,no
544,no
545,no
546,no
547,no
548,no
549,yes
550,no
551,no
552,no
553,yes
554,no
555,no
556,no
557,no
558,no
559,no
560,no
561,no
562,no
563,no
564,no
565,no
566,no
567,no
568,no
569,no
570,no
571,no
572,no
573,no
574,no
575,no
576,no
577,no
578,no
579,no
580,no
581,no
582,no
583,no
584,no
585,no
586,no
587,no
588,no
589,no
590,no
591,no
592,no
593,no
594,no
595,no
596,no
597,no
598,no
599,no
600,no
601,no
602,no
603,no
604,no
605,no
606,no
