Id,Prob_Yes
1515,1.4449800373124837e-07
1516,5.043474082014517e-07
1517,1.8553910183683314e-07
1518,0.0002034269780552065
1519,5.043474082014517e-07
1520,4.5397868702434395e-05
1521,0.0002611903190957194
1522,5.043474082014517e-07
1523,0.00015843621910252594
1524,3.9278620026704423e-07
1525,1.7603432133424858e-06
1526,0.0005527786369235996
1527,7.889262586245034e-06
1528,8.315280276641321e-07
1529,6.475947982049266e-07
1530,3.059022269256247e-07
1531,1.8553910183683314e-07
1532,1.0129990980873921e-05
1533,0.0019267346633274755
1534,0.8807970779778823
1535,3.9278620026704423e-07
1536,1.0677028700441467e-06
1537,3.9278620026704423e-07
1538,5.043474082014517e-07
1539,6.825602910446288e-08
1540,4.1399375473943306e-08
1541,5.043474082014517e-07
1542,0.7772998611746911
1543,2.3823690999334297e-07
1544,8.764247451323235e-08
1545,3.059022269256247e-07
1546,5.043474082014517e-07
1547,0.679178699175393
1548,8.764247451323235e-08
1549,1.12535162055095e-07
1550,2.144494842091395e-05
1551,1.4449800373124837e-07
1552,0.014063627043245474
1553,1.12535162055095e-07
1554,1.0129990980873921e-05
1555,1.12535162055095e-07
1556,1.12535162055095e-07
1557,1.8553910183683314e-07
1558,5.043474082014517e-07
1559,1.8553910183683314e-07
1560,3.059022269256247e-07
1561,0.029312230751356316
1562,0.00015843621910252594
1563,1.3709572068578445e-06
1564,2.3823690999334297e-07
1565,1.0677028700441467e-06
1566,0.0002611903190957194
1567,1.0677028700441467e-06
1568,3.059022269256247e-07
1569,1.12535162055095e-07
1570,2.144494842091395e-05
1571,5.043474082014517e-07
1572,2.902311985211097e-06
1573,4.785094494890118e-06
1574,0.5
1575,3.9278620026704423e-07
1576,1.8553910183683314e-07
1577,3.9278620026704423e-07
1578,8.315280276641321e-07
1579,1.0129990980873921e-05
1580,6.475947982049266e-07
1581,1.8553910183683314e-07
1582,3.059022269256247e-07
1583,0.01098694263059318
1584,0.0015011822567369915
1585,1.3709572068578445e-06
1586,0.37754066879814546
1587,5.043474082014517e-07
1588,0.11920292202211755
1589,3.9278620026704423e-07
1590,1.0677028700441467e-06
1591,2.3823690999334297e-07
1592,2.3823690999334297e-07
1593,6.475947982049266e-07
1594,5.043474082014517e-07
1595,1.4449800373124837e-07
1596,1.4449800373124837e-07
1597,3.9278620026704423e-07
1598,5.043474082014517e-07
1599,3.9278620026704423e-07
1600,6.475947982049266e-07
1601,2.2603242979035742e-06
1602,0.9241418199787566
1603,3.059022269256247e-07
1604,3.059022269256247e-07
1605,4.785094494890118e-06
1606,3.059022269256247e-07
1607,1.7603432133424858e-06
