Id,Response
2723,no
2724,no
2725,no
2726,no
2727,no
2728,no
2729,no
2730,no
2731,no
2732,no
2733,no
2734,no
2735,no
2736,no
2737,no
2738,no
2739,no
2740,no
2741,no
2742,no
2743,no
2744,no
2745,no
2746,no
2747,no
2748,no
2749,no
2750,no
2751,no
2752,no
2753,no
2754,no
2755,no
2756,no
2757,no
2758,no
2759,no
2760,no
2761,no
2762,no
2763,no
2764,no
2765,no
2766,no
2767,no
2768,no
2769,no
2770,no
2771,no
2772,no
2773,yes
2774,yes
2775,no
2776,yes
2777,no
2778,yes
2779,no
2780,no
2781,no
2782,no
2783,no
2784,no
2785,no
2786,no
2787,no
2788,no
2789,no
2790,yes
2791,no
2792,no
2793,no
2794,no
2795,no
2796,no
2797,no
2798,no
2799,no
2800,no
2801,no
2802,no
2803,no
2804,no
2805,no
2806,no
2807,no
2808,no
2809,no
2810,no
2811,no
2812,no
2813,no
2814,no
2815,no
2816,no
2817,no
2818,no
2819,no
2820,no
2821,no
2822,no
2823,no
2824,no
2825,no
2826,no
2827,no
2828,no
2829,no
2830,no
2831,no
2832,no
2833,no
2834,yes
2835,no
2836,yes
2837,no
2838,no
2839,no
2840,no
2841,no
2842,yes
2843,no
2844,yes
2845,yes
2846,no
2847,yes
2848,yes
2849,no
2850,no
2851,no
2852,no
2853,no
2854,no
2855,no
2856,no
2857,no
2858,no
2859,no
2860,no
2861,no
2862,no
2863,no
2864,no
2865,no
2866,no
2867,no
2868,no
2869,no
2870,no
2871,no
2872,no
2873,no
2874,no
2875,no
2876,yes
2877,no
2878,no
2879,no
2880,yes
2881,no
2882,no
2883,no
2884,no
2885,no
2886,no
2887,no
2888,no
2889,no
2890,no
2891,no
2892,no
2893,no
2894,no
2895,no
2896,no
2897,no
2898,no
2899,no
2900,no
2901,no
2902,no
2903,no
2904,no
2905,no
2906,no
2907,no
2908,no
2909,no
2910,no
2911,no
2912,no
2913,no
2914,yes
2915,no
2916,no
2917,no
2918,no
2919,no
2920,no
2921,no
2922,no
2923,no
2924,no
2925,no
2926,no
2927,no
2928,no
2929,yes
2930,yes
2931,no
2932,no
2933,no
2934,no
2935,no
2936,no
2937,no
2938,no
2939,no
2940,no
2941,no
2942,no
2943,no
2944,yes
2945,no
2946,no
2947,no
2948,no
2949,no
2950,no
2951,no
2952,yes
2953,no
2954,no
2955,no
2956,no
2957,no
2958,no
2959,no
2960,no
2961,no
2962,no
2963,no
2964,no
2965,no
2966,no
2967,no
2968,no
2969,yes
2970,no
2971,no
2972,no
2973,no
2974,no
2975,no
2976,no
2977,no
2978,no
2979,no
2980,no
2981,no
2982,no
2983,no
2984,yes
2985,no
2986,no
2987,yes
2988,yes
2989,yes
2990,no
2991,yes
2992,no
2993,no
2994,no
2995,no
2996,no
2997,no
2998,no
2999,no
3000,no
3001,no
3002,no
3003,no
3004,no
3005,yes
3006,no
3007,no
3008,no
3009,no
3010,yes
3011,yes
3012,yes
3013,no
3014,no
3015,no
3016,no
3017,no
3018,no
3019,no
3020,no
3021,no
3022,no
3023,no
3024,no
