Id,Response
1,no
2,no
3,no
4,no
5,no
6,no
7,no
8,yes
9,yes
10,yes
11,yes
12,yes
13,yes
14,no
15,yes
16,yes
17,no
18,no
19,no
20,yes
21,no
22,no
23,yes
24,no
25,yes
26,yes
27,no
28,no
29,no
30,no
31,no
32,no
33,no
34,no
35,no
36,no
37,no
38,no
39,no
40,no
41,no
42,no
43,no
44,no
45,no
46,no
47,no
48,no
49,no
50,no
51,yes
52,yes
53,no
54,yes
55,yes
56,yes
57,yes
58,yes
59,yes
60,no
61,yes
62,yes
63,yes
64,yes
65,yes
66,yes
67,yes
68,yes
69,yes
70,yes
71,yes
72,yes
73,yes
74,no
75,yes
76,yes
77,yes
78,yes
79,no
80,no
81,yes
82,yes
83,yes
84,yes
85,yes
86,yes
87,yes
88,yes
89,yes
90,yes
91,yes
92,yes
93,yes
94,yes
95,yes
96,no
97,yes
98,yes
99,yes
100,yes
101,yes
102,yes
103,yes
104,yes
105,yes
106,yes
107,yes
108,yes
109,yes
110,yes
111,yes
112,yes
113,yes
114,yes
115,yes
116,yes
117,yes
118,no
119,yes
120,yes
121,yes
122,yes
123,no
124,yes
125,yes
126,yes
127,yes
128,yes
129,yes
130,yes
131,yes
132,yes
133,yes
134,yes
135,yes
136,yes
137,yes
138,yes
139,no
140,yes
141,yes
142,yes
143,yes
144,yes
145,yes
146,yes
147,yes
148,yes
149,yes
150,no
151,yes
152,yes
153,yes
154,yes
155,yes
156,yes
157,yes
158,yes
159,yes
160,yes
161,yes
162,yes
163,yes
164,no
165,no
166,yes
167,yes
168,yes
169,yes
170,yes
171,yes
172,yes
173,no
174,yes
175,yes
176,yes
177,yes
178,yes
179,yes
180,no
181,yes
182,yes
183,no
184,yes
185,yes
186,yes
187,yes
188,no
189,no
190,no
191,no
192,no
193,no
194,no
195,no
196,no
197,no
198,no
199,no
200,no
201,no
202,no
203,no
204,no
205,no
206,no
207,no
208,no
209,no
210,no
211,no
212,no
213,no
214,no
215,no
216,no
217,no
218,no
219,no
220,yes
221,no
222,no
223,no
224,no
225,no
226,no
227,no
228,yes
229,yes
230,no
231,no
232,no
233,no
234,no
235,no
236,no
237,yes
238,no
239,no
240,no
241,no
242,no
243,no
244,yes
245,no
246,no
247,no
248,no
249,no
250,no
251,no
252,no
253,no
254,no
255,no
256,no
257,no
258,no
259,no
260,no
261,no
262,no
263,no
264,no
265,no
266,no
267,no
268,no
269,no
270,no
271,no
272,no
273,no
274,no
275,no
276,no
277,no
278,no
279,no
280,no
281,no
282,no
283,no
284,no
285,no
286,no
287,no
288,no
289,no
290,no
291,no
292,no
293,no
294,no
295,no
296,no
297,no
298,no
299,no
300,no
301,no
302,no
303,yes
